Title,FeaturedImage,PublishedDate,Content,GalleryImages
" A joint statement of commitment for the justice reform is signed between the Ministry of Justice, the Prosecutorial Council, the Judicial Council, and the Court.",https://md.rks-gov.net/desk/inc/media/6558C591-A8E1-4E5C-8BB0-22000861926E.jpg ,15/03/2023 23:14,"<p><a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fmd.rks-gov.net%2Fpage.aspx%3Fid%3D1%252C46%26fbclid%3DIwAR3_d2s1XJaQ3uAqhBrDfIC00IyhJ4ixXL7QxWfKEHJJFDSVsIAqctYcq20&amp;h=AT09Y8tbtUGSHXc5KD9u1XX_xzN02TezkyS7kKhdZxNGwHppnLHs2BU32kbSYGakZQMQy98Q5XS83KhkdPvwoaO5XfYiZNWPqLMmwKRknQbJSGlJ3NDh9ewUzMkOgTzCeQ&amp;__tn__=-UK-R&amp;c[0]=AT224BU1wJYNIzC7IqGMoMNEt-60bQVT5UA41mtJRaubQrt2uU0B3z0CBkPlWvoTuPhoqlNuXSBWBVA5HdnBkNR5pQnZI3u8-mZMtFX2PNHcAN7xwaAhKiNqlgforuukjbDg2xSb16ctynFwQManidNtjwFt7He_LnNdaPbDQqw7Ry9p4AQpYdRx-rTTP7JYZJ3CuLhmV9WK"" rel=""nofollow noopener"" tabindex=""0"" target=""_blank"">https://md.rks-gov.net/page.aspx?id=1,46</a></p>","https://md.rks-gov.net/desk/inc/media/6558C591-A8E1-4E5C-8BB0-22000861926E.jpg ,https://md.rks-gov.net/desk/inc/media/60C72AE9-0560-43BC-91E4-6B80A8322C9E.jpg ,https://md.rks-gov.net/desk/inc/media/FED8B046-8E55-4D95-A015-D4CE69E4F8F4.jpg ,https://md.rks-gov.net/desk/inc/media/850F3ADB-A71D-4E54-9BC1-C86BD19DA948.jpg ,https://md.rks-gov.net/desk/inc/media/E833DDB5-F0AC-4A89-90D5-01F077F28F55.jpg ,https://md.rks-gov.net/desk/inc/media/F7F962C7-AA39-4F67-AD8F-13FC89F76C0F.jpg ,https://md.rks-gov.net/desk/inc/media/F5615DA6-3246-4D63-A9FB-7D01747020B9.jpg ,https://md.rks-gov.net/desk/inc/media/E566F978-4A30-40CF-8131-AD04525325D1.jpg ,https://md.rks-gov.net/desk/inc/media/8B47F72C-7F2E-4DEA-867E-51C8B5A93081.jpg ,https://md.rks-gov.net/desk/inc/media/FBEE0F42-C96B-4B3C-84E9-DDC2E9B38F30.jpg "
New notary office opens in Istog Municipality,https://md.rks-gov.net/desk/inc/media/01334FF2-7720-4F55-BDE4-7F52AB7A69F6.jpg ,07/03/2023 23:13,"<p>Since Istog was one of the six municipalities without a notary office, Minister Haxhiu issued binding decisions to the notaries of the nearest municipalities, such as Mr. Haskaj, a notary in Peja authorized now for Istog, to open temporary notary offices in these municipalities and provide notary services for up to two days per week.</p><p>Present during the visit was also the President of the Chamber of Notaries of the Republic of Kosovo, Aliriza Beshi, whom Minister Haxhiu thanked for his and the Chamber’s willingness to cooperate with the Ministry of Justice in providing this temporary solution during the transitional period until the appointment of new notaries, namely the completion of the notary service in the Republic of Kosovo.</p>","https://md.rks-gov.net/desk/inc/media/01334FF2-7720-4F55-BDE4-7F52AB7A69F6.jpg ,https://md.rks-gov.net/desk/inc/media/6179DBA4-A4D0-4649-8B63-3D7C8F0444D8.jpg ,https://md.rks-gov.net/desk/inc/media/36C58D07-23A9-4591-879B-A6D8AE9D681C.jpg ,https://md.rks-gov.net/desk/inc/media/FE2BCF03-26CC-4575-AB73-A41CF21BD391.jpg ,https://md.rks-gov.net/desk/inc/media/2CB03630-3555-4942-B57D-714BD2F1F059.jpg "
Minister Haxhiu concludes her visit to Croatia meeting heads of justice bodies,https://md.rks-gov.net/desk/inc/media/8FAC0369-CADF-407D-86FF-2F314A5858C4.jpg ,22/12/2022 23:12,"<p>In the meetings with officials from the Office of the Chief State Prosecutor, the Supreme Court and the Constitutional Court, topics of common interest, such as addressing war crimes and the fight against corruption, the standardization of sentencing policy, the good practices of strengthening the rule of law, and other issues have been discussed.</p><p>The meetings with the representatives of the Victim Support Unit at the Zagreb District Court and the members of the Judicial Legislation Committee were part of the activities of the 3-day visit to Croatia, during which the improvement of services for victims and the improvement of policy-making in this field and in the field of the rule of law have been discussed.</p><p>Among other things, such a visit aimed at getting to know the good practices of Croatian institutions in strengthening the rule of law, their integration path into the European Union, and it also aimed at deepening the cooperation between both countries.</p><p>Such a visit has been supported by the European Union Program for the Justice Sector in Kosovo – EUKOJUST.</p>","https://md.rks-gov.net/desk/inc/media/59207E45-42B1-46F8-B669-A7FE3221184D.jpg ,https://md.rks-gov.net/desk/inc/media/1347B4CD-46D3-4892-AAFD-983977C23C5F.jpg ,https://md.rks-gov.net/desk/inc/media/B4D7FD9C-06F0-4AED-92DD-C348189B057F.jpg ,https://md.rks-gov.net/desk/inc/media/5EE706A1-2452-4114-A58E-993CA4D11D34.jpg ,https://md.rks-gov.net/desk/inc/media/A7848032-BDDA-409A-89D4-F7F741E67EA0.jpg ,https://md.rks-gov.net/desk/inc/media/AB3B4E6E-AD73-4174-B9B5-504212B42682.jpg ,https://md.rks-gov.net/desk/inc/media/5B7850EC-CF6B-4524-AC9B-2476B75C1C5E.jpg ,https://md.rks-gov.net/desk/inc/media/D2EB1719-79B5-4D57-B076-041822CA50AC.jpg "
The official global campaign calendar “16 Days of Activisim Against Gender Based Violence” ,https://md.rks-gov.net/desk/inc/media/238A167D-C5F8-48CA-8154-881579D835ED.png ,24/11/2022 23:11,"<p>Linku <a href=""/desk/inc/media/4931d364-decd-40d2-9ea3-f53d949ef994.pdf"">Kalendari zyrtar i fushatës globale “16 Ditët e Aktivizimit Kundër Dhunës në Bazë Gjinore”</a></p>",
"Ministrja e Drejtësisë, Albulena Haxhiu, po zhvillon një vizitës zyrtare në Mbretërinë e Danimarkës ku është pritur nga homologu i saj danez, ministri Mattias Tesfaye",https://md.rks-gov.net/desk/inc/media/A8E6A6B5-DC4A-4D35-AFA4-170EA3A6AA8C.jpg ,12/05/2022 23:10,"<p>Po ashtu, gjatë qëndrimit në Danimarkë, ministrja Haxhiu ka takuar edhe Ministrin për Migracion dhe Integrim, Kaare Dybvad Bek.<br/>
Haxhiu e ka njoftuar ministrin Dybvad Bek për hapat e hedhur dhe progresin e arritur deri më tani sa i përket procesit të integrimit evropian dhe njëherit kërkoi mbështetjen e shtetit danez, me fokus në çështjen e liberalizimit të vizave për Kosovën, anëtarësimin në Këshillin e Evropës dhe anëtarësimin në NATO.<br/>
Haxhiu ka theksuar angazhimin e Republikës së Kosovës për të vazhduar me reformat e ndërmarra të cilat ndihmojnë më tej në procesit e integrimit në Bashkimin Evropian dhe mekanizmat tjerë ndërkombëtar për çka theksoi ajo, mbështetja e Mbretërisë së Danimarkës, veçanërisht në konsolidimin e reformës në drejtësi, është thelbësore për ndërtimin e shtetit të së drejtës dhe rrugës drejtë BE-së.</p>",
"Ministrja Haxhiu, takoi anëtaret e Komisionit për Dhënien e Provimit për Përmbarues Privat",https://md.rks-gov.net/desk/inc/media/13D58EF2-F096-4695-91F3-9EA22E05D7F5.jpg ,26/04/2022 23:09,"<p>Ministrja Haxhiu kërkoi nga anëtarët e Komisionit që të jenë në nivel të detyrës dhe gjithashtu, që në përputhje me legjislacionin dhe kriteret profesionale, të zbatojnë përgjegjësitë të cilat i janë besuar, duke mundësuar një proces transparent, të rregullt, të drejtë dhe të ligjshëm.<br/>
Në anën tjetër kryesuesi i Komisionit, Fejzullah Rexhepi, në emër të Komisionit ka shprehur falënderimin për besimin e dhënë duke potencuar gatishmërinë dhe vullnetin që Komisioni të jetë në nivel profesional gjatë ushtrimit të kësaj përgjegjësie.<br/>
Ditëve në vazhdim, Ministria e Drejtësisë do të fillojë përgatitjet për organizimin dhe mbajtjen e Provimit për Përmbarues Privat.</p>",
"Fjala e Ministres Haxhiu, në konferencë për media",https://md.rks-gov.net/desk/inc/media/036E5B0C-B8BE-4C49-B134-F9CE2FAFD8BB.jpg ,23/03/2022 23:08,"<p>Të nderuar gazetarë,</p><p>Mirë se vini në Ministrinë e Drejtësisë.</p><p>Sot bëhen një vit nga fillimi i këtij mandati qeverisës.</p><p>Gjatë këtij viti kemi dëshmuar se në Kosovë mund të ketë qeveri të pa korruptuar, pa skandale e cila është e përkushtuar në përmirësimin e jetës së qytetarëve dhe krijimit të shtetit të së drejtës.</p><p>Gjatë këtij viti kemi dëshmuar, se një qeveri në Kosovë mund të veprojë dhe të punojë në përmbushjen e qëllimeve për të mirën e përgjithshme, pa keqpërdorur buxhetin e taksat e qytetarëve dhe duke minimizuar shpenzimet.</p><p>Në këtë vit qeverisje, Ministria e Drejtësisë ka punuar vazhdimisht për reformën në drejtësi duke hartuar politika dhe kemi përmirësuar kornizën ligjore në vend me qëllim të luftimit të korrupsionit dhe krimit të organizuar, përfshirë këtu pakon ligjore kundër korrupsionit përmes ligjit për deklarimin e pasurisë dhe atij për byronë shtetërore për konfisikimin e pasurisë së fituar në mënyrë të pajustifikueshme, kemi miratuar Kodin e Procedurës Penale dhe gjithashtu, rregulloren për raportimin e shkeljeve brenda institucioneve.</p><p>Kemi miratuar strategjinë për sundimin e ligjit. Vettingu mbetet fokusi kryesor i Ministrisë së Drejtësisë. Deri më tani, përveç koncept dokumentit për vetingun janë hartuar edhe amendamentet kushtetuese për vettingun në sistemin e drejtësisë.</p><p>Ministria e Drejtësisë vazhdon të jetë në komunikim të vazhdueshëm me Komisionin e Venecias lidhur me opinionin e radhës në raport me procesin e vetingun në vend.</p><p>Ne jemi të vendosur që ky proces i rëndësishëm për qytetarët dhe shtetin e së drejtës, të jetë proces i përgatitur mirë dhe në përputhje me standardet ndërkombëtare dhe praktikat më të mira.</p><p>Reformën në sistemin prokurorial vazhdojmë ta trajtojmë me prioritet. Tashmë kemi proceduar në Kuvend projektligjin për KPK, me qëllim të eliminimit të parregullsive dhe gjithashtu të heqjes së koorporatizmit në KPK dhe krijimit të balancit midis anëtarëve prokurorë dhe jo-prokurorë. Numri i anëtarëve të KPK në përbërjen e re do të jetë 7 dhe jo 13.</p><p>Në momentin që do të hyjë në fuqi ky ligj, atëherë anëtarëve aktual do t’ju ndërpritet mandati dhe vetëm 3 nga ta do të mbesin përmes shortit.</p><p>Kemi bërë prioritet adresimin e krimeve të kryera gjatë luftës së fundit në Kosovë, si asnjë qeveri me parë. Jemi duke punuar me intensitet drejt finalizimit të Institutit për dokumentimin e krimeve të kryera gjatë luftës së fundit. Jemi gjithashtu duke punuar në Strategjinë për Drejtësi Tranzicionale sikurse edhe kemi mbështetur Prokurorinë Speciale për adresimin e krimeve të luftës duke hequr pengesat për gjykimin në mungesë të kriminelëve.</p><p>Dhuna në familje vazhdon të mbetet fenomen shqetësues për shoqërinë tonë. Ky fenomen ka pasur vëmendjen sikurse edhe angazhimin tonë. Kemi miratuar strategjinë kundër dhunës në familje, dhe jemi angazhuar të sigurojmë zbatimin e 140 aktiviteteve të parashikuara për 3 vitet në vijim. Po ashtu kemi krijuar bazën ligjore për garantimin e ndihmë juridike falas viktimave të dhunës, pavarësisht gjendjes socio ekonomike te tyre.</p><p>Tutje, kemi themeluar Gjykatën Komerciale, e cila së shpejti do të funksionalizohet, dhe jemi duke punuar për Gjykatën Administrative dhe atë të Punës.</p><p>Të nderuar gazetarë dhe qytetarë,</p><p>Për një vit punë, Ministria e Drejtësisë ka finalizuar dhe miratuar në Qeveri 37 dokumente si projektligje dhe koncept-dokumente, strategji e rregullore dhe akte të tjera të rëndësishme përshirë nënshkrimin e marrëveshjeve ndërkombëtare.</p><p>Ne jemi pothuajse në prag te finalizimit të udhëzimit për uljen e tarifave të larta të përmbaruesve. E po ashtu po punojmë për uljen e tarifave të noterëve.</p><p>Për një vit, kemi organizuar 2 afate të provimit të jurisprudencës. Tashmë ky provim i cili në të kaluarën ishte shoqëruar me parregullsi të shumta, si asnjëherë më parë tashmë karakterizohet me profesionalizëm, integritet e transparencë të plotë dhe gjatë këtij viti, ne kemi 192 juristë të rinj të cilët kanë kaluar provimin e jurisprudencës.</p><p>Në anën tjetër, gjatë kësah kohe, kemi hasur edhe në sfida.</p><p>Siç jeni në dijeni, procesi i vettingut është në nevojë dhe kërkesë shoqërore. Është i vetmi çelës që kemi në duar për ta bërë Kosovën shtet të së drejtës. Ndonëse kemi pasur përpjekje për tu ulur dhe diskutuar me subjektet opozitare, të njëjtat nuk kanë shfaqur as interesimin më minimal për të diskutuar lidhur me këtë, edhe përkundër insistimeve tona.</p><p>Procesi i noterisë – siç jeni në dijeni, Gjykata Themelore në Prishtinë ka rrëzuar vendimin tim lidhur me anulimin e procesit të provimit të noterisë. Unë nuk do ta komentoj vendimin e Gjykatës vetëm dua të shtoj që s’ka vendim që legjitimon një proces aq të padrejtë, të kurdisur e të komprometuar. Pas rrethanave të krijuara, ne do të hapim një konkurs për provimin e noterisë me qëllim të rritjes së konkurrencës dhe cilësisë midis kandidatëve.</p><p>Mosvotimi i Kodit Civil nga Kuvendi nuk ishte fare lajm i mirë. Me lejoni të ju informoj se që nga dita e parë e mandatit tim, në Projekt-kodin Civil është punuar me prioritet dhe përkushtim dhe mbi bazën e Kushtetutës së Republikës së Kosovës dhe standardeve më të mira ndërkombëtare. Unë nuk negocioj të drejtat e njeriut, nëse Kushtetuta dhe konventat ndërkombëtare nuk lejojnë diskriminimin mbi bazën e orentimit seksual atëherë i gjithë legjislacioni tjetër duhet të jenë në linjë dhe në përputhje me to.</p><p>Puna e mirë do të vazhdohet tutje dhe Projekt-kodi civil do të procedohet në Kuvendin e Kosovës sërish.</p><p>Për jetësimin e prioriteteve tona, puna në Ministrinë e Drejtësisë është duke vazhduar në 19 grupe punuese, me ç’rast 5 prioritetet e Kabinetit tim dhe punët tjera në Ministrinë e Drejtësisë, do të realizohen me profesionalizëm, gjithë-përfshirje dhe transparencë të plotë.</p><p>Të nderuar gazetarë, kemi bërë edhe shumë punë të tjera por kemi edhe shumë punë të tjera para vetes.</p><p>Përgjatë këtij 1 viti qeverisje, ne kemi dëshmuar integritet të lartë moral, profesional e politik. Kemi qenë transparent dhe të qasshëm. Edhe përkundër shumë sulmeve, shpifjeve, dhe tendencave për të krijuar situata të paqena, kemi qenë të vendosur në jetësimin e prioriteteve tona.</p>",
"Ministrja e Drejtësisë, Albulena Haxhiu, priti në takim homologun nga Mbretëria e Danimarkës, ministrin e Drejtësisë, Nick Hækkerup",https://md.rks-gov.net/desk/inc/media/12941B72-6AAB-4767-B9DF-09855C721ADC.jpg ,10/03/2022 23:07,"<p>Palët konfirmuan përparimin në negociatat për arritjen e marrëveshjes përfundimtare për transferimin e të dënuarve nga Danimarka në Kosovë e cila pritet të nënshkruhet dhe të ratifikohet në Kuvendin e Republikës së Kosovës gjatë këtij viti.</p><p>Partneriteti i tillë, në mes të Republikës së Kosovës dhe Mbretërisë së Danimarkës, ishte pjesë e këtij diskutimi, me ç’ rast nga të dy anët u shpreh vullnet për të bashkëpunuar për interesat e qytetarëve të të dy palëve, në zhvillimin dhe avancimin edhe për interesa tjera vitale.</p><p>Partneriteti i fuqishëm në sektorin e drejtësisë, investimet e rëndësishme në fushën e energjisë, janë garanci për zgjerim të bashkëpunimit edhe në fushat tjera.</p>",
"Koncept-dokumenti për Ekspertët gjyqësorë, mori miratimin e Qeverisë ",https://md.rks-gov.net/desk/inc/media/7373DC2A-EDE9-451B-B0EF-B42E817B5F95.jpg ,09/03/2022 23:06,"<p>Ministrja Haxhiu duke theksuar rëndësinë e këtij Koncept-dokumenti tha se “Që nga konsolidimi i sistemit gjyqësor në Kosovë në vitin 1999 e sidomos pas shpalljes së pavarësisë së Kosovës në vitin 2008, licencimi dhe angazhimi i ekspertëve gjyqësorë nuk është adresuar sa dhe si duhet. Si rrjedhojë, nuk janë ngritur asnjëherë mekanizmat për licencimin e ekspertëve gjyqësorë derisa veprimtaria e ekspertit gjyqësor vazhdon të ushtrohet nga individët të cilët nuk i janë nënshtruar ndonjëherë procesit të licencimit”.</p><p>Për me tepër, pas reformimit të sistemi gjyqësor me 2013, ky proces është ndaluar i tëri dhe prej asaj kohe e deri më tash nuk ka pasur asnjë proces apo mekanizëm formal për emërimin e ekspertëve gjyqësor, edhe pse procedurat gjyqësore vazhdojnë të jenë të varura në ekspertizat gjyqësore.</p><p>Opsioni i rekomanduar i këtij Koncept-dokumenti kërkon nxjerrjen e një ligji të ri për ekspert i cili do të mandatojë Ministrinë e Drejtësisë me kompetencë ligjore për emërimin e ekspertëve.</p><p>Përmes këtij Koncept-dokumenti janë adresuar çështjet më problematike që janë evidentuar, siç janë: lista e ekspertëve, procesi i emërimit, mosekzistimi i një mekanizmi ku paraqiten pakënaqësitë ndaj punës së ekspertëve, frekuenca e angazhimeve si ekspert, çështja e angazhimit privat të ekspertëve që punojnë në institute publike që ofrojnë ekspertiza gjyqësore, unifikimi i kritereve për emërimin e ekspertëve dhe si të tilla do të rregullohen me ligj te veçantë.</p><p>Ministria e Drejtësisë, përmes ligjit të ri do të pajiset me kompetencë shtesë për zhvillimin e procedurave dhe emërimin e ekspertëve. Ky proces do të jetë i hapur dhe transparent, me kritere të paracaktuara dhe me përfshirjen e hisedarëve kryesor në procese, si KGjK, KPK dhe odat përkatëse profesioniste.</p>",
Qeveria miratoi Projektligjin për ndryshimin dhe plotësimin e ligjit për Këshillin Prokurorial të Kosovës,https://md.rks-gov.net/desk/inc/media/A2612163-B8C5-41E6-8C1C-89EFD194DDCE.jpg ,09/03/2022 23:05,"<p>Ky Projektligj është hartuar në përputhje me zotimet për drejtësi të pavarur, të paanshme, efikase dhe profesionale si dhe në përputhje me strategjinë për sundimin e ligjit.</p><p>Kjo reformë institucionale, nëpërmjet këtij draft-ligji parasheh zvogëlimin e anëtarëve të Këshillit nga 13 në 7 anëtarë, me përfshirje të 3 anëtarëve jo prokurorë ku 2 do të zgjedhën nga Kuvendi i Kosovës dhe 1 do të delegohet nga Avokati i Popullit, si dhe çështje të tjera që kanë të bëjnë me transparencën, duke aplikuar procese të hapura, konkurruese dhe të bazuar në merita.</p><p>Theksojmë se rregullimi i deritashëm ligjor ku KPK ka një përbërje me 13 anëtarë, (10 nga ta prokurorë), është një rregullim që nuk gjenet në vendet e rajonit si dhe në shtetet e BE-së, në anën tjetër nga Komisioni i Venedikut, kjo përbërje është cilësuar si koorporatizëm i sistemit prokurorial.</p><p>Hartimi i këtij Projektligji është përpiluar në përputhje me standardet evropiane si dhe në linjë me rekomandimet e Komisionit të Venedikut.</p><p>Si i tillë ky Projektligj paraqet një domosdoshmëri me qëllim të reformimit të sistemit prokurorial për të garantuar që ai të jetë i drejtë dhe efikas. Projektligji paraqet një momentum të rëndësishëm për reformimin e sistemit prokurorial të Kosovës, i cili do të ndikojë drejtpërdrejt në rezultate konkrete në raport me përgjegjësitë e KPK para qytetarëve.</p>",
