Title,FeaturedImage,PublishedDate,Content,GalleryImages
"Ministarka Hadžiu se sastala sa ministrom pravde Ujedinjenog Kraljevstva, lordom Alex Chalk",https://md.rks-gov.net/desk/inc/media/3C9D1409-F41D-4297-B43C-C04650E86707.jpg ,07/02/2024 23:25,"<p>Tokom sastanka, ministarka Hadžiu je zahvalila Ujedinjenom Kraljevstvu na podršci reformi pravosuđa, sa posebnim fokusom na Vetting, vladavinu prava i bezbednost.<br/>
<br/>
Dalje je ministarka Hadžiu govorila o procesima koje Ministarstvo pravde preduzima u kompletiranju reforme pravosuđa, borbi protiv krijumčarenja u zatvorima, adresiranju porodičnog i rodno zasnovanog nasilja itd.<br/>
<br/>
Ministarka Hadžiu i sekretar, lord Alex Chalk, govorili su i o zaključenju sporazuma između dve zemlje koji se odnose na izručenje, transfer osuđenih lica, takođe i o sporazumu o međusobnoj pravnoj pomoći u krivičnim stvarima.<br/>
<br/>
Ministarka Hadžiu je zahvalila lorda Alex Chalk na kontinuiranoj podršci koju Ujedinjeno Kraljevstvo daje Kosovu i obećala da će produbiti saradnju između dve zemlje.</p>",
"Nakon ""Danas i svakog drugog dana"" kreće nova kampanja protiv nasilja nad devojčicama i ženama",https://md.rks-gov.net/desk/inc/media/42A7D41F-0868-41B2-BB5A-34B61F27149E.jpg ,06/02/2024 23:24,"<p>Tokom ovog sastanka razgovarano je o posvećenosti Ministarstva pravde i prioritetima u prevenciji i adresiranju nasilja nad devojčicama i ženama.</p><p>S tim u vezi, ministarka Hadžiu je istakla radnje koje smo preduzeli u vezi sa sprečavanjem i adresiranjem nasilja nad devojčicama i ženama, kao i organizovanje preko 160 aktivnosti u okviru globalne kampanje &#34;16 dana aktivizma protiv rodno zasnovanog nasilja“ u poslednje dve godine.</p><p>U međuvremenu, detaljno smo informisani o organizaciji kampanje &#34;Dosta“ od strane britanske vlade, konkretnim koracima od pokretanja kampanje do evaluacije faza implementacije.</p><p>Ministarstvo pravde se priprema za pokretanje nove i sveobuhvatne kampanje u bliskoj saradnji sa našim britanskim partnerima, prenoseći na taj način iskustvo i stručnost iz kampanje &#34;Dosta“ i istražujući najefikasnije načine proaktivnog pristupa sprovođenju kampanje na Kosovu.</p>","https://md.rks-gov.net/desk/inc/media/AACF7BB8-A6DB-4609-9EDE-DF7402D3CD0C.jpg ,https://md.rks-gov.net/desk/inc/media/7B728C55-9A47-4D1E-9683-4F2C6FA9CDF0.jpg ,https://md.rks-gov.net/desk/inc/media/B88E9472-DD94-4F04-A630-D1FDA37803F0.jpg ,https://md.rks-gov.net/desk/inc/media/B1335F12-59AC-4702-A54D-E24800E04D66.jpg "
Ministarka Hadžiu boravi u zvaničnoj poseti Ujedinjenom Kraljevstvu,https://md.rks-gov.net/desk/inc/media/52760CCF-49A4-4A34-BCEE-0FA04D6A79BD.jpg ,05/02/2024 23:23,"<p>Tokom ovog sastanka sa poslanicom, ministarka Hadžiu i poslanica Kearns razgovarali su o važnim pitanjima u vezi sa saradnjom dve zemlje, a koja se odnose na nastavak podrške Velike Britanije Kosovu, jačanje vladavine prava, ali i za političku situaciju u Republici Kosova.</p><p>Na ovom sastanku, ministarka Hadžiu je govorila o napretku zemlje i radnjama Vlade Kosova ka održavanju bezbednosti i širenju suvereniteta na celoj teritoriji Republike, kao i o adresiranju nasilja u porodici i podizanju svesti kroz konkretne akcije i kampanjama podizanja svesti.</p><p>Ministarka Hadžiu je zahvalila poslanicu Kearns i Veliku Britaniju na kontinuiranoj saradnji u vezi sa članstvom Kosova u Savetu Evrope.</p><p>U okviru ove posete, ministarka Hadžiu se sastala i sa predstavnicima Komisije za sudska imenovanja kojom predsedava lord sudija Mark Warby, koji ih je obavestio o unapređenju standarda integriteta u slučaju izbora i imenovanja novih sudija i o radu koji se odnosi na integritet, disciplinu i evaluaciju učinka.</p><p>Sastanci sa visokim predstavnicima Ujedinjenog Kraljevstva biće nastavljeni i narednih dana.</p>","https://md.rks-gov.net/desk/inc/media/B5C752C3-2B12-48C9-811A-3F27EF062B76.jpg ,https://md.rks-gov.net/desk/inc/media/0E4B5F5D-D9EB-494A-A960-B2ECD7044867.jpg ,https://md.rks-gov.net/desk/inc/media/5BA094A8-2809-4AFC-8891-BC347DC07E91.jpg ,https://md.rks-gov.net/desk/inc/media/9CDF70F3-FA95-41E1-95BD-5947DB548F5B.jpg ,https://md.rks-gov.net/desk/inc/media/BAC687FE-AA33-4D35-92CA-AF4DAEA77600.jpg "
Ministarka Hadžiu se sastala sa predstavnicima civilnog društva,https://md.rks-gov.net/desk/inc/media/4E9D4B83-C199-4038-A78F-EE096A583213.jpg ,22/01/2024 23:22,"<p>Na ovom sastanku, ministarka Hadžiju je sa posebnim naglaskom govorila o nastavku rada nakon objavljivanja pune presude u vezi sa Vetting-om, reformi u tužilačkom sistemu, o izmeni i dopuni Građanskog zakonika, digitalizaciji za javno beležništvo i pravosudnom ispitu, implementaciji Strategije protiv nasilja i regulisanje i jačanje mehanizama kao što su: CSR, Skloništa, licencirane NVO koje pružaju socijalne i porodične usluge.</p><p>Ministarka Hadžiu je zahvalila predstavnicima civilnog društva na njihovom radu i obećala transparentnost i nastavak saradnje u izradi politika Ministarstva pravde.</p>","https://md.rks-gov.net/desk/inc/media/9D8A2D9A-45C6-4C34-8BD8-288AE988DF0C.jpg ,https://md.rks-gov.net/desk/inc/media/53B638F2-C1F4-49C7-943B-CBB77BB55D52.jpg ,https://md.rks-gov.net/desk/inc/media/1128708E-D516-410C-BC12-3FDDA516236E.jpg ,https://md.rks-gov.net/desk/inc/media/6CF0176C-F4C5-4F66-9E43-859AE9D6AAAC.jpg ,https://md.rks-gov.net/desk/inc/media/5605F103-2820-4F73-9772-24DCB39218B6.jpg ,https://md.rks-gov.net/desk/inc/media/253FDBA6-622F-4E65-A9AE-72552DD1F943.jpg ,https://md.rks-gov.net/desk/inc/media/0D04B631-DC2A-4526-8A5B-6BF0948980DA.jpg ,https://md.rks-gov.net/desk/inc/media/ECC98CCF-C617-4D9C-ADCD-90FEC1005353.jpg ,https://md.rks-gov.net/desk/inc/media/AD0BA182-40A0-4495-A274-678AD8A10A49.jpg ,https://md.rks-gov.net/desk/inc/media/7F6E0117-B8DE-4BBA-8366-D5A509B4CD22.jpg "
"Ministarka Hadžiu je primila na sastanku pregovarački tim iz Kraljevine Švedske, sa kojim se očekuje postizanje tri važnih pravnih sporazuma",https://md.rks-gov.net/desk/inc/media/E2A02A79-8402-4777-8BE6-241EB294D3EE.jpg ,17/01/2024 23:21,"<p>Ministarka Hadžiju je rekla da je cilj Ministarstva pravde da unapredi pravnu infrastrukturu i intenzivira međunarodnu pravnu saradnju u krivičnim stvarima i ova tri sporazuma sa Kraljevinom Švedskom su od velikog značaja za Republiku Kosova i zasnovana su na težnji i posvećenost Republike Kosova razvoju evropskog partnerstva koje će doprineti afirmaciji evropskih vrednosti u bilateralnoj saradnji, boreći se protiv transnacionalnog kriminala koji ugrožava javnu i nacionalnu bezbednost naše dve zemlje.</p><p>Ovi sporazumi će takođe poslužiti za dalje jačanje saradnje u oblasti pravne pomoći u krivičnim stvarima između dve zemlje i usaglašavanja i olakšavanja pravnog postupka u ovoj oblasti.</p>","https://md.rks-gov.net/desk/inc/media/E06F81D7-F48E-44C7-88E5-B33F5EB95133.jpg ,https://md.rks-gov.net/desk/inc/media/B5BA76B2-0B6B-4297-8BA3-56B6EB915BE2.jpg ,https://md.rks-gov.net/desk/inc/media/CCDE1B29-39E4-4544-872E-E4EE768A759B.jpg "
Ministarka Hadžiju je okupila članove Komisije za polaganje Pravosudnog ispita,https://md.rks-gov.net/desk/inc/media/C7408417-295E-4060-B842-397F4D718713.jpg ,16/01/2024 23:20,"<p>Ministar Hadžiu je čestitala članovima Komisije na izboru od strane Skupštine Kosova, ističući važnost ove Komisije u što kompletnoj organizaciji pravosudnih ispita tokom njenog mandata.</p><p>Između ostalog, ministarka Hadžiu je zamolila članove Komisije da budu na visini zadatka i da u skladu sa zakonodavstvom i profesionalnim kriterijumima sprovode odgovornosti koje su im poverene.</p><p>S druge strane, predsednik Komisije za pravosudni ispit Fejzulah Redžepi je u ime Komisije izrazio zahvalnost na ukazanom poverenju, kao i spremnost i volju da se časno i odgovorno obavljaju ovlašćenja koja pripadaju ovoj Komisiji.</p><p>Ministarstvo pravde u narednim nedeljama počinje pripreme za organizaciju i održavanje narednog pravosudnog ispita.</p>","https://md.rks-gov.net/desk/inc/media/5AB6727A-F4D7-4809-B586-CB33527F7C44.jpg ,https://md.rks-gov.net/desk/inc/media/3DAC132A-1D0E-413A-B3DC-7272541889A4.jpg ,https://md.rks-gov.net/desk/inc/media/E8F1F4DE-3D62-4232-B1B1-5DAFF9020EBC.jpg "
Komori posrednika Kosova dodeljen je stan za obavljanje službenih poslova,https://md.rks-gov.net/desk/inc/media/547C9729-B659-47FC-A632-D5605E06F41F.jpg ,12/01/2024 23:19,"<p>Danas je obavljena zvanična primopredaja novog objekta Komore posrednika Kosova, u kom slučaju je predsednica Komore posrednika Ganimete Dželili primila ključeve objekta od zamenika ministra pravde Blerima Sallahu.</p><p>Na predlog Ministarstva pravde, Vlada je odlukom dala na korišćenje ovu nepokretnu imovinu iz konfiskovane imovine Republike Kosova Komori posrednika.</p><p>Tako se nezakonito stečena imovina nakon konfiskacije vraća u službi javnog i društvenog interesa.</p>","https://md.rks-gov.net/desk/inc/media/68CD037D-CE75-4A67-824A-6843E18D4B03.jpg ,https://md.rks-gov.net/desk/inc/media/A010554D-667F-4035-A976-35B70C0E6D9E.jpg ,https://md.rks-gov.net/desk/inc/media/40C50574-BC69-427A-B41C-E899D58CB107.jpg "
Za socijalne i porodične usluge izdvajaju se 287 hiljada evra,https://md.rks-gov.net/desk/inc/media/7FC3E855-070A-4DB7-82FA-5358D1D357E1.jpg ,10/01/2024 23:18,"<p>Ministarka pravde Albulena Hadžiju je na konferenciji za medije posle sednice Vlade rekla da je odobravanje ovog fonda veoma važno zbog prirode i osetljivosti organizacija i skloništa koja pružaju usluge žrtvama nasilja u porodici, ali i deci bez roditeljskog staranja i ostale kategorije.</p><p>Tokom 2023. godine za podršku ovim organizacijama izdvojeno je oko 1,5 miliona evra, pri čemu je 892 hiljade evra izdvojeno samo za skloništa, dok je ostatak za NVO licencirane za pružanje usluga.</p>","https://md.rks-gov.net/desk/inc/media/9EFA973A-8A19-4DA0-8037-03DEF369FF8E.jpg ,https://md.rks-gov.net/desk/inc/media/551A2233-77E7-42A2-BCA4-7FC4C3877F76.jpg ,https://md.rks-gov.net/desk/inc/media/1E4BF4CC-D5C6-4DD2-9464-713FD453888F.jpg ,https://md.rks-gov.net/desk/inc/media/2CDEF153-08E6-423E-98F7-F6910DEFBC6B.jpg "
Vlada je odobrila novu Međuministarsku grupu protiv nasilja,https://md.rks-gov.net/desk/inc/media/80C34840-3BE8-44C2-9797-4B3672E998E2.jpg ,27/12/2023 23:17,"<p>Ostali članovi Međuministarske grupe biće: Blerim Gashani iz Ministarstva unutrašnjih poslova, Avni Zogiani iz Ministarstva finansija, rada i transfera, Nazlie Bala iz Ministarstva pravde, Dafina Gexha iz Ministarstva zdravlja, Taulant Kelmendi iz Ministarstva obrazovanja, nauke, tehnologije i inovacija, Arber Vokrri iz Ministarstva lokalne uprave, Sylejman Elshani iz Ministarstva kulture, omladine i sporta, Arbnesh Ajvazi iz Kosovske policije, Sevdije Morina iz državnog tužilaštva, Mirlinda Bytyqi iz Sudskog saveta Kosova, Luljeta Hetemi sa Pravne akademije, Zana Hamiti iz Koalicije skloništa Kosova, Burhan Maxhuni iz Kancelarije za zaštitu i pomoć žrtvama i Blerim Shabani, predstavnik Centra za socijalni rad.</p>",
Ministarka Hadžiju se sastala sa direktorima korektivnih institucija,https://md.rks-gov.net/desk/inc/media/1027882A-F649-4338-9FAA-362097DAC93F.jpg ,26/12/2023 23:16,"<p>Ministarka Hadžiu je u svom govoru zatražila da se ozbiljno radi na sprečavanju krijumčarenja u zatvorima, povećanju bezbednosti, stvaranju uslova i poštovanju prava zatvorenika.</p><p>Dalje, ministarka Hadžiu je izrazila podršku za Korektivnu službu Kosova u pravnom i finansijskom smislu, dok je zatražila da se pruži podrška ženama zaposlenim u korektivnim institucijama.</p><p>Dok su direktori zatvora izveštavali o dostignućima, izazovima i ciljevima koji se odnose na plan rada i realizaciju strategija i planova za 2024.</p><p>Prema njihovim rečima, zabrinjavajuće je i dalje postupanje prema zatvorenicima koji imaju odluke za psihijatrijsko lečenje. Direktori izražavali spremnost da svoje obaveze ispunjavaju u skladu sa svojim odgovornostima uz nepoštednu posvećenost i punu odgovornost.</p>",
